date,fz,reg_num,reg_num_href,stage,p_object,organization_type,organization_name,organization_href,s_price,posted,updated,ending,documents_href
"Thu, 02 May 2024 09:00:57 +0000","223-ФЗ Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства",№ 32413558323,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=16718695,Подача заявок,"... (ввода в эксплуатацию индивидуальных приборов учёта (горячей и холодной воды ... коммунальных ресурсов, проверки состояния индивидуальных приборов учета, и проверки достоверности предоставленных ... в АО «НТЭК» показаний индивидуальных приборов учёта (горячей и холодной воды ... состояния введенных в эксплуатацию индивидуальных приборов учёта)",Заказчик,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРИЛЬСКО-ТАЙМЫРСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=8839,"3 745 993,92 ₽",27.04.2024,27.04.2024,07.05.2024,https://zakupki.gov.ru/epz/order/notice/notice223/documents.html?noticeInfoId=16718695
"Thu, 02 May 2024 09:00:57 +0000",44-ФЗ Электронный аукцион,№ 0124300012724000099,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0124300012724000099,Определение поставщика завершено,"Работы по установке (замене) индивидуальных приборов учёта горячей и холодной воды и замене части внутренних трубопроводов в муниципальных помещениях многоквартирных домов, расположенных на территории муниципального образования «Северодвинск»","Организация, осуществляющая размещение","АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕВЕРОДВИНСК""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=648618,"418 180,00 ₽",18.04.2024,27.04.2024,26.04.2024,https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0124300012724000099
"Thu, 02 May 2024 09:00:57 +0000",44-ФЗ Электронный аукцион,№ 0184300000524000009,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0184300000524000009,Подача заявок,Выполнение работ по замене приборов узла учёта тепловой энергии потребителя по ул. Монтажников д. 7 в п. Искателей,Заказчик,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДСКОЕ ПОСЕЛЕНИЕ ""РАБОЧИЙ ПОСЕЛОК ИСКАТЕЛЕЙ"" ЗАПОЛЯРНОГО РАЙОНА НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=806722,"131 539,56 ₽",27.04.2024,27.04.2024,06.05.2024,https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0184300000524000009
"Thu, 02 May 2024 09:00:57 +0000",44-ФЗ Электронный аукцион,№ 0848300062224000575,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0848300062224000575,Подача заявок,Оказание услуг по поверке приборов учёта тепловой энергии зданий общеобразовательных учреждений и зданий дошкольных отделений общеобразовательных учреждений,"Организация, осуществляющая размещение","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ТОРГОВ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2163168,"507 453,39 ₽",26.04.2024,26.04.2024,08.05.2024,https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0848300062224000575
"Thu, 02 May 2024 09:00:57 +0000",44-ФЗ Электронный аукцион,№ 0373200557924000209,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373200557924000209,Подача заявок,"Право заключения контракта на оказание услуг по установке узла учёта тепловой энергии на объекте теплоснабжения ГБУ ""Гормост"" ""Новоарбатский мост (левый берег)"" в 2024 году (СМП и СОНО)",Заказчик,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ИНЖЕНЕРНЫХ СООРУЖЕНИЙ ""ГОРМОСТ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=1382746,"733 333,33 ₽",23.04.2024,26.04.2024,03.05.2024,https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0373200557924000209
"Thu, 02 May 2024 09:00:58 +0000",44-ФЗ Электронный аукцион,№ 0373200557924000207,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373200557924000207,Подача заявок,"Право заключения контракта на оказание услуг по поверке приборов узлов учёта тепловой энергии в 2024 году на 7 объектах ГБУ ""Гормост"" (СМП и СОНО)",Заказчик,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ И РЕМОНТУ ИНЖЕНЕРНЫХ СООРУЖЕНИЙ ""ГОРМОСТ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=1382746,"1 159 965,31 ₽",23.04.2024,26.04.2024,03.05.2024,https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0373200557924000207
"Thu, 02 May 2024 09:00:58 +0000",44-ФЗ Электронный аукцион,№ 0122300013824000060,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0122300013824000060,Подача заявок,Выполнение работ по монтажу приборов учёта расхода тепловой энергии котельной сельского поселения «Село Омми» Амурского муниципального района Хабаровского края с приобретением дополнительного оборудования.,"Организация, осуществляющая размещение",АДМИНИСТРАЦИЯ АМУРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ,https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=614642,"823 396,94 ₽",26.04.2024,26.04.2024,06.05.2024,https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0122300013824000060
"Thu, 02 May 2024 09:00:58 +0000",223-ФЗ Прочие,№ 32413552633,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=16711647,Подача заявок,... (22-090884)» «Установка приборов учета в соответствии с Федеральным ... и интеграция их в систему учёта электрической энергии Южного РЭС для ...,Заказчик,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЛЕНЭНЕРГО""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=9673,"3 407 520,00 ₽",26.04.2024,26.04.2024,06.05.2024,https://zakupki.gov.ru/epz/order/notice/notice223/documents.html?noticeInfoId=16711647
"Thu, 02 May 2024 09:00:58 +0000","223-ФЗ Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства",№ 32413551870,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=16710615,Подача заявок,"Ремонт системы отопления объекта «Часть служебно-пассажирского здания общей площадью 530,1 кв.м» Надымского центра ОВД",Заказчик,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО ОРГАНИЗАЦИИ ВОЗДУШНОГО ДВИЖЕНИЯ В РОССИЙСКОЙ ФЕДЕРАЦИИ""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=2167,"900 000,00 ₽",26.04.2024,26.04.2024,13.05.2024,https://zakupki.gov.ru/epz/order/notice/notice223/documents.html?noticeInfoId=16710615
"Thu, 02 May 2024 09:00:58 +0000",223-ФЗ Прочие,№ 32413509557,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=16705432,Подача заявок,"... протяженность ЛЭП – 0,362 км, прибор учёта электроэнергии - 1шт)».",Заказчик,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЮГ""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=16632,"1 047 650,40 ₽",16.04.2024,25.04.2024,13.05.2024,https://zakupki.gov.ru/epz/order/notice/notice223/documents.html?noticeInfoId=16705432
"Thu, 02 May 2024 09:00:59 +0000",223-ФЗ Прочие,№ 32413547119,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=16704782,Подача заявок,"... (0,14 км), прибора коммерческого учёта (1 т.у ...",Заказчик,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СЕВЕРО-ЗАПАД""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=9179,"653 386,50 ₽",25.04.2024,25.04.2024,08.05.2024,https://zakupki.gov.ru/epz/order/notice/notice223/documents.html?noticeInfoId=16704782
"Thu, 02 May 2024 09:00:59 +0000",223-ФЗ Прочие,№ 32413505220,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=16698279,Подача заявок,"... мощность трансформатора 0,160 МВА, прибор учёта электроэнергии - 1шт)».",Заказчик,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЮГ""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=16632,"3 040 016,40 ₽",15.04.2024,24.04.2024,07.05.2024,https://zakupki.gov.ru/epz/order/notice/notice223/documents.html?noticeInfoId=16698279
